run_idx,combination_idx,repeat_idx,status,runtime,mofka_bench.data_size,mofka_bench.num_threads,mofka_bench.consumer.elapsed_ms,mofka_bench.consumer.events_count,mofka_bench.consumer.events_per_sec,mofka_bench.consumer.throughput_mbps,mofka_bench.consumer.total_data_mb,mofka_bench.producer.elapsed_ms,mofka_bench.producer.events_count,mofka_bench.producer.events_per_sec,mofka_bench.producer.throughput_mbps,mofka_bench.producer.total_data_mb,error
0,0,0,success,4.674034595489502,256,1,91.86,1000,10887.0,2.66,0.24,143.26,1000,6980.0,2.13,0.31,
1,0,1,success,4.651637315750122,256,1,93.78,1000,10664.0,2.6,0.24,127.64,1000,7835.0,2.39,0.31,
2,0,2,success,4.6227028369903564,256,1,92.86,1000,10769.0,2.63,0.24,128.99,1000,7753.0,2.37,0.31,
3,1,0,success,4.604177236557007,256,2,91.62,1000,10914.0,2.66,0.24,117.66,1000,8499.0,2.59,0.31,
4,1,1,success,4.678046941757202,256,2,92.76,1000,10781.0,2.63,0.24,131.42,1000,7609.0,2.32,0.31,
5,1,2,success,4.737813711166382,256,2,94.7,1000,10559.0,2.58,0.24,143.53,1000,6967.0,2.13,0.31,
6,2,0,success,4.65224814414978,256,4,91.96,1000,10874.0,2.65,0.24,135.27,1000,7392.0,2.26,0.31,
7,2,1,success,4.686471939086914,256,4,95.31,1000,10493.0,2.56,0.24,141.78,1000,7053.0,2.15,0.31,
8,2,2,success,4.693139314651489,256,4,97.01,1000,10309.0,2.52,0.24,139.51,1000,7168.0,2.19,0.31,
9,3,0,success,4.685551404953003,1024,1,131.23,1000,7620.0,7.44,0.98,150.49,1000,6645.0,6.89,1.04,
10,3,1,success,4.597729444503784,1024,1,157.24,1000,6360.0,6.21,0.98,124.31,1000,8044.0,8.35,1.04,
11,3,2,success,4.687165021896362,1024,1,96.33,1000,10381.0,10.14,0.98,120.89,1000,8272.0,8.58,1.04,
12,4,0,success,4.640467882156372,1024,2,94.25,1000,10610.0,10.36,0.98,120.33,1000,8311.0,8.62,1.04,
13,4,1,success,4.659832954406738,1024,2,93.38,1000,10709.0,10.46,0.98,145.69,1000,6864.0,7.12,1.04,
14,4,2,success,4.687943458557129,1024,2,95.2,1000,10504.0,10.26,0.98,143.85,1000,6952.0,7.21,1.04,
15,5,0,success,4.646242618560791,1024,4,93.46,1000,10700.0,10.45,0.98,142.43,1000,7021.0,7.28,1.04,
16,5,1,success,4.667052984237671,1024,4,95.84,1000,10434.0,10.19,0.98,124.52,1000,8031.0,8.33,1.04,
17,5,2,success,4.685673236846924,1024,4,95.13,1000,10512.0,10.27,0.98,144.82,1000,6905.0,7.16,1.04,
18,6,0,success,4.675342559814453,4096,1,144.23,1000,6933.0,27.08,3.91,155.52,1000,6430.0,25.51,3.97,
19,6,1,success,4.6832334995269775,4096,1,93.82,1000,10659.0,41.64,3.91,127.79,1000,7825.0,31.04,3.97,
20,6,2,success,4.733851671218872,4096,1,91.17,1000,10968.0,42.85,3.91,151.92,1000,6582.0,26.11,3.97,
21,7,0,success,4.716755628585815,4096,2,98.41,1000,10162.0,39.69,3.91,152.77,1000,6546.0,25.97,3.97,
22,7,1,success,4.687344074249268,4096,2,94.94,1000,10533.0,41.14,3.91,129.53,1000,7720.0,30.63,3.97,
23,7,2,success,4.666819334030151,4096,2,93.68,1000,10674.0,41.7,3.91,154.54,1000,6471.0,25.67,3.97,
24,8,0,success,4.660971403121948,4096,4,149.52,1000,6688.0,26.13,3.91,145.14,1000,6890.0,27.33,3.97,
25,8,1,success,4.671504020690918,4096,4,93.23,1000,10727.0,41.9,3.91,151.99,1000,6579.0,26.1,3.97,
26,8,2,success,4.687278509140015,4096,4,94.77,1000,10551.0,41.22,3.91,128.61,1000,7776.0,30.85,3.97,
27,9,0,success,4.700323581695557,16384,1,93.97,1000,10642.0,166.28,15.62,181.32,1000,5515.0,86.51,15.69,
28,9,1,success,4.759812831878662,16384,1,95.46,1000,10476.0,163.68,15.62,181.08,1000,5522.0,86.62,15.69,
29,9,2,success,4.692270040512085,16384,1,93.91,1000,10649.0,166.39,15.62,165.96,1000,6025.0,94.52,15.69,
30,10,0,success,4.716772556304932,16384,2,95.31,1000,10492.0,163.94,15.62,187.6,1000,5330.0,83.61,15.69,
31,10,1,success,4.621893644332886,16384,2,154.33,1000,6480.0,101.24,15.62,167.9,1000,5956.0,93.43,15.69,
32,10,2,success,4.662651062011719,16384,2,92.77,1000,10779.0,168.42,15.62,165.62,1000,6038.0,94.71,15.69,
33,11,0,success,4.762471914291382,16384,4,104.6,1000,9560.0,149.38,15.62,187.99,1000,5319.0,83.44,15.69,
34,11,1,success,4.7151360511779785,16384,4,106.78,1000,9365.0,146.33,15.62,186.27,1000,5369.0,84.21,15.69,
35,11,2,success,4.715155363082886,16384,4,94.38,1000,10595.0,165.55,15.62,187.21,1000,5342.0,83.79,15.69,
36,12,0,success,4.918230772018433,65536,1,128.41,1000,7788.0,486.74,62.5,305.86,1000,3270.0,204.54,62.56,
37,12,1,success,4.983987092971802,65536,1,110.3,1000,9066.0,566.64,62.5,323.11,1000,3095.0,193.62,62.56,
38,12,2,success,4.869646310806274,65536,1,102.85,1000,9723.0,607.67,62.5,334.1,1000,2993.0,187.26,62.56,
39,13,0,success,4.84393835067749,65536,2,116.23,1000,8604.0,537.72,62.5,308.74,1000,3239.0,202.63,62.56,
40,13,1,success,4.810940980911255,65536,2,97.5,1000,10256.0,641.0,62.5,325.42,1000,3073.0,192.25,62.56,
41,13,2,success,4.855979919433594,65536,2,153.37,1000,6520.0,407.5,62.5,322.71,1000,3099.0,193.86,62.56,
42,14,0,success,4.8313329219818115,65536,4,108.01,1000,9258.0,578.63,62.5,314.93,1000,3175.0,198.65,62.56,
43,14,1,success,4.834092855453491,65536,4,99.51,1000,10049.0,628.07,62.5,303.98,1000,3290.0,205.81,62.56,
44,14,2,success,4.818177223205566,65536,4,103.93,1000,9622.0,601.35,62.5,321.28,1000,3113.0,194.73,62.56,
